Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Output
29,39,78,24,20,20,17,22,0
29,34,77,23,21,18,17,24,0
29,37,69,23,21,19,17,25,0
32,34,67,21,21,19,19,23,0
33,38,55,22,20,19,19,23,0
31,32,45,22,21,18,22,24,0
31,31,57,22,20,21,22,24,0
27,29,64,22,21,21,22,22,0
28,37,67,23,22,22,22,25,0
27,33,76,24,22,22,24,26,0
25,34,74,27,23,22,23,25,0
24,36,68,26,23,22,22,24,0
28,41,67,26,22,20,22,26,0
26,34,69,26,22,19,23,23,0
31,33,58,25,22,20,23,25,0
36,35,61,21,19,19,22,27,0
38,41,60,22,19,18,22,27,0
38,37,54,22,20,18,19,27,0
40,38,50,23,19,20,18,30,0
37,39,50,23,18,20,16,27,0
33,40,48,23,18,20,20,25,0
31,33,47,23,18,19,21,25,0
34,39,47,24,21,20,24,29,0
34,38,43,21,21,18,24,26,0
36,41,41,20,20,17,26,26,0
36,41,36,20,21,18,23,27,0
37,41,32,21,21,19,23,31,0
33,37,28,21,18,18,21,29,0
32,40,28,21,19,18,22,31,0
33,36,23,22,18,18,21,30,0
31,33,26,20,20,19,20,29,0
31,34,29,19,20,18,19,26,0
31,34,29,17,20,18,19,22,0
29,34,32,19,19,18,18,19,0
26,36,34,18,21,18,19,20,0
26,37,35,19,19,17,20,20,0
31,39,32,19,22,18,25,23,0
30,36,37,19,21,18,24,25,0
29,35,41,20,21,17,25,26,0
29,36,40,19,22,19,23,24,0
30,35,38,20,22,20,23,26,0
30,35,39,19,21,20,18,25,0
32,41,35,20,22,20,21,24,0
32,38,28,18,22,20,20,23,0
35,37,37,19,20,19,21,24,0
35,37,43,19,21,19,21,23,0
32,34,44,20,19,18,23,21,0
30,31,43,18,19,18,21,22,0
31,30,41,19,19,19,23,23,0
27,29,37,20,20,20,22,23,0
29,30,35,19,20,19,23,24,0
27,32,33,19,21,19,22,25,0
28,31,56,21,19,19,23,25,0
27,31,57,21,19,18,22,24,0
27,31,59,20,18,19,22,23,0
27,29,57,20,16,20,20,23,0
28,28,60,21,16,20,20,23,0
28,31,66,20,18,21,18,23,0
30,31,70,20,18,20,20,22,0
32,30,70,19,19,20,21,24,0
30,35,69,18,20,18,24,24,0
29,35,69,17,20,19,25,24,0
34,37,51,21,19,20,25,24,0
32,40,56,22,18,19,22,26,0
34,42,55,21,18,19,21,26,0
35,39,56,23,18,20,19,25,0
34,39,62,24,19,20,18,27,0
30,35,58,22,19,20,18,26,0
30,32,52,23,20,20,19,24,0
35,33,63,24,20,19,22,27,0
34,35,63,23,21,20,21,28,0
36,43,55,23,20,20,21,27,0
35,41,54,22,21,20,20,28,0
37,42,54,21,21,20,23,29,0
36,39,40,22,22,20,20,26,0
34,38,43,21,22,19,22,29,0
34,27,43,20,21,19,22,31,0
38,31,57,21,21,19,23,30,0
39,32,69,21,21,19,24,31,0
34,32,69,21,20,17,23,31,0
35,31,67,21,20,18,23,25,0
33,34,72,22,21,17,22,26,0
35,31,76,22,19,16,23,28,0
34,32,61,22,20,17,21,27,0
35,32,62,23,20,20,21,27,0
35,32,62,24,18,20,21,28,0
36,32,57,23,22,20,21,25,0
30,30,39,21,23,22,21,21,0
32,29,35,21,23,20,21,25,0
32,30,39,19,21,19,21,23,0
32,36,40,20,23,18,23,25,0
30,33,40,21,18,18,23,26,0
30,34,39,22,20,18,22,28,0
25,33,41,22,20,18,21,24,0
24,34,37,21,20,19,25,25,0
25,39,39,19,19,18,23,23,0
28,39,42,17,20,18,23,22,0
27,39,46,18,18,19,22,22,0
29,41,45,18,18,18,22,23,0
35,48,51,20,19,16,19,24,0
38,41,51,22,21,18,21,31,0
36,42,46,23,20,19,21,30,0
39,42,48,23,19,18,22,31,0
41,45,54,25,19,18,21,31,0
40,43,61,25,18,21,20,31,0
37,40,62,25,17,20,19,27,0
39,43,64,24,16,21,19,29,0
37,42,61,25,18,20,18,28,0
34,41,57,23,17,20,19,27,0
32,33,50,23,18,19,20,27,0
39,34,56,22,18,20,21,30,0
39,31,58,22,19,19,21,29,0
40,32,58,21,19,20,23,28,0
41,34,62,20,20,20,25,28,0
40,34,57,19,19,19,23,27,0
32,33,47,18,18,19,21,22,0
29,33,46,21,18,18,20,22,0
29,34,45,20,19,20,20,22,0
27,27,47,22,20,21,19,22,0
26,35,46,22,20,22,21,21,0
28,36,55,23,21,23,22,24,0
28,36,53,21,21,23,23,25,0
29,38,61,21,22,20,24,28,0
33,40,61,22,20,23,22,28,0
41,38,61,22,20,23,23,30,0
40,39,53,23,20,21,22,29,0
42,40,72,22,19,22,22,30,0
40,38,67,23,17,24,24,29,0
38,37,61,22,17,21,25,30,0
30,32,60,23,18,20,24,27,0
29,32,64,23,19,19,25,25,0
27,33,46,23,19,19,24,22,0
28,29,43,24,20,17,23,23,0
27,29,58,25,20,16,22,22,0
31,28,67,27,21,15,21,24,0
34,31,64,24,20,18,22,25,0
37,30,64,24,20,18,24,28,0
39,30,65,22,18,18,23,27,0
41,31,52,20,19,18,24,29,0
37,31,50,18,18,19,24,29,0
34,29,50,21,17,18,24,29,0
30,27,49,20,18,18,22,26,0
35,33,47,21,18,18,22,28,0
32,34,53,22,19,18,19,26,0
33,37,48,22,18,19,19,25,0
33,37,48,21,18,18,19,27,0
35,37,49,19,17,19,20,27,0
40,36,70,18,18,19,19,29,0
42,37,70,18,17,20,22,30,0
43,39,67,18,18,19,21,30,0
42,37,66,19,20,18,20,27,0
44,37,67,21,21,19,19,30,0
35,34,50,22,21,20,19,26,0
31,32,51,22,22,20,17,25,0
30,29,51,21,23,18,18,27,0
31,28,51,19,21,21,18,28,0
31,31,51,20,21,20,18,25,0
28,30,65,19,21,18,18,22,0
32,29,69,19,21,18,19,24,0
31,26,72,21,20,19,19,23,0
34,27,74,22,21,18,21,27,0
242,480,228,496,490,122,171,130,1
242,495,217,500,512,124,174,132,1
206,438,217,481,570,121,172,117,1
182,445,193,530,639,127,162,101,1
180,407,173,544,649,122,171,107,1
172,377,162,533,641,143,164,97,1
186,382,196,584,639,170,156,107,1
200,401,189,582,600,181,193,115,1
196,402,200,534,508,171,195,115,1
207,415,205,543,560,182,179,110,1
235,465,220,503,558,186,190,118,1
225,531,207,447,556,162,192,107,1
217,545,230,459,675,179,160,114,1
207,523,221,539,783,209,163,108,1
208,605,216,579,780,208,180,115,1
180,597,210,516,760,195,155,104,1
185,546,195,530,795,198,160,102,1
205,555,174,557,714,176,147,100,1
209,584,188,501,618,145,156,106,1
197,509,222,427,572,134,148,104,1
209,526,217,458,705,160,164,112,1
232,600,244,426,657,163,154,111,1
242,613,233,408,735,165,156,106,1
251,601,225,422,761,163,145,113,1
262,625,235,473,792,184,150,111,1
271,608,233,565,714,159,139,115,1
257,554,208,575,705,158,143,125,1
231,536,236,687,679,171,165,123,1
217,532,227,679,656,168,165,113,1
207,542,206,731,689,147,158,120,1
195,511,199,692,710,149,165,116,1
226,567,199,791,790,169,161,120,1
243,531,181,799,830,165,138,127,1
260,519,191,873,878,170,140,136,1
290,517,209,896,917,178,129,133,1
298,555,227,898,896,178,116,126,1
284,471,264,862,973,169,122,124,1
265,466,269,758,918,154,129,110,1
279,490,269,707,909,156,150,108,1
238,399,238,630,844,157,171,99,1
230,397,240,628,845,176,188,112,1
216,438,195,583,712,165,184,103,1
220,421,204,695,788,174,183,113,1
203,411,197,661,797,176,159,119,1
204,465,195,606,767,173,142,115,1
193,455,198,636,748,155,130,107,1
182,398,205,618,696,159,130,109,1
209,535,185,515,709,168,131,106,1
203,542,211,510,665,153,133,99,1
215,519,224,572,644,149,157,100,1
231,537,222,526,655,158,152,103,1
245,545,228,554,701,154,172,105,1
210,456,221,563,647,150,186,102,1
205,446,249,677,748,175,195,103,1
212,474,275,746,908,194,174,105,1
190,440,262,779,943,191,185,102,1
178,434,258,809,935,188,165,97,1
199,411,257,802,917,186,160,101,1
216,456,234,737,903,173,145,105,1
196,402,202,640,771,156,145,100,1
252,450,219,647,795,156,132,113,1
253,465,216,635,845,159,149,113,1
297,556,225,656,876,155,135,119,1
291,551,209,631,781,141,131,115,1
304,582,191,623,824,133,136,116,1
261,542,225,588,744,134,137,108,1
263,517,258,614,772,132,122,109,1
199,480,259,596,692,136,122,96,1
218,516,273,585,709,141,128,96,1
192,482,286,610,725,139,114,97,1
198,516,253,578,735,118,118,98,1
198,537,214,516,681,124,124,103,1
204,482,204,503,835,155,125,101,1
